Vulnerability ID        Package                                      Severity          Fix         CVE Refs        Vulnerability URL                                                     
CVE-2009-5155           libc-bin-2.27-3ubuntu1                       Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2009-5155           
CVE-2009-5155           libc6-2.27-3ubuntu1                          Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2009-5155           
CVE-2013-4235           login-1:4.5-1ubuntu2                         Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235           
CVE-2013-4235           passwd-1:4.5-1ubuntu2                        Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235           
CVE-2015-8985           libc-bin-2.27-3ubuntu1                       Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8985           
CVE-2015-8985           libc6-2.27-3ubuntu1                          Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8985           
CVE-2016-10739          libc-bin-2.27-3ubuntu1                       Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-10739          
CVE-2016-10739          libc6-2.27-3ubuntu1                          Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-10739          
CVE-2016-2781           coreutils-8.28-1ubuntu1                      Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2781           
CVE-2017-11164          libpcre3-2:8.39-9                            Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-11164          
CVE-2017-14159          libldap-2.4-2-2.4.45+dfsg-1ubuntu1.4         Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-14159          
CVE-2017-14159          libldap-common-2.4.45+dfsg-1ubuntu1.4        Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-14159          
CVE-2018-1000021        git-1:2.17.1-1ubuntu0.4                      Low               None                        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000021        
