Vulnerability ID        Package                                                     Severity          Fix                                               CVE Refs        Vulnerability URL                                                     
CVE-2017-1000367        sudo-1.8.9p5-1ubuntu1.3                                     High              1.8.9p5-1ubuntu1.4                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000367        
CVE-2017-2885           libsoup2.4-1-2.44.2-1ubuntu2.1                              High              2.44.2-1ubuntu2.2                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-2885           
CVE-2018-1000001        libc-bin-2.19-0ubuntu6.9                                    High              2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        
CVE-2018-1000001        libc6-2.19-0ubuntu6.13                                      High              2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        
CVE-2018-1000001        multiarch-support-2.19-0ubuntu6.9                           High              2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        
CVE-2019-3462           apt-1.0.1ubuntu2.17                                         High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3462           apt-transport-https-1.0.1ubuntu2.17                         High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3462           apt-utils-1.0.1ubuntu2.17                                   High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3462           libapt-inst1.5-1.0.1ubuntu2.17                              High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3462           libapt-pkg4.12-1.0.1ubuntu2.17                              High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2012-0039           libglib2.0-0-2.40.2-0ubuntu1                                Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-0039           
CVE-2012-0039           libglib2.0-data-2.40.2-0ubuntu1                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-0039           
CVE-2012-1093           x11-common-1:7.7+1ubuntu8.1                                 Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-1093           
CVE-2013-0157           libblkid1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           libmount1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           libuuid1-2.20.1-5.1ubuntu20.9                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           mount-2.20.1-5.1ubuntu20.9                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
